#BIBLE VERSE DESKTOP
 
#name   	Russian Synodal Bible
#copyright	Public Domain
#language	russian 
#charset	russian

; В программе использованны цитаты,
; взятые из Русской Синоидальной Библии.

А моя душа будет радоваться о Господе, будет веселиться о спасении от Него	Пс.34:9
Уповай на Господа и делай добро	Пс.36:3
Живи на земле и храни истину	Пс.36:3
Утешайся Господом, и Он исполнит желания сердца твоего	Пс.36:4
Предай Господу путь твой и уповай на Него, и Он совершит	Пс.36:5
Покорись Господу и надейся на Него	Пс.36:7
Кроткие наследуют землю и насладятся множеством мира	Пс.36:11
Уповай на Господа и держись пути Его	Пс.36:34
От Господа спасение праведникам, Он-защита их во время скорби	Пс.36:39
Господи! пред Тобою все желания мои	Пс.37:10
Блажен человек, который на Господа возлагает надежду свою	Пс.39:5
Я желаю исполнить волю Твою, Боже мой	Пс.39:9
Остановитесь и познайте, что Я-Бог	Пс.45:11
Восплещите руками все народы, воскликните Богу гласом радости	Пс.46:1
Дорога цена искупления души их	Пс.48:10
Грядет Бог наш, и не в безмолвии	Пс.49:3
Принеси в жертву Богу хвалу и воздай Всевышнему обеты твои	Пс.49:14
Призови Меня в день скорби; Я избавлю тебя	Пс.49:15
Кто приносит в жертву хвалу, тот чтит Меня	Пс.49:23
Сказал безумец в сердце своем: 'нет Бога'	Пс.52:1
Вот, Бог помощник мой; Господь подкрепляет душу мою	Пс.53:6
Возложи на Господа заботы твои, и Он поддержит тебя	Пс.54:23
Никогда не даст Он поколебаться праведнику	Пс.54:23
Подлинно есть плод праведнику!	Пс.57:12
Бог-заступник мой, Бог мой, милующий меня	Пс.58:18
Только в Боге успокаивается душа моя: от Него спасение мое	Пс.61:1
Бог нам прибежище	Пс.61:9
Однажды сказал Бог, и дважды слышал я это, что сила у Бога	Пс.61:12
Праведник возвеселится о Господе и будет уповать на Него	Пс.63:11
Бог твой предназначил тебе силу	Пс.67:29
А мне благо приближаться к Богу!	Пс.72:28
Открой уста твои, и Я наполню их	Пс.80:11
Господь Бог есть солнце и щит	Пс.83:12
Господь дает благодать и славу	Пс.83:12
Господь даст благо, и земля наша даст плод свой	Пс.84:13
Ты, Господи, благ и милосерд и многомилостив	Пс.85:5
Живущий под кровом Всевышнего под сенью Всемогущего покоится	Пс.90:1
Не убоишься ужасов в ночи, стрелы, летящей днем	Пс.90:5
Да не преткнешься о камень ногою твоею	Пс.90:12
Праведник цветет, как пальма	Пс.91:13
Господь царствует; Он облечен величием	Пс.92:1
Господь знает мысли человеческие, что они суетны	Пс.93:11
Не отринет Господь народа Своего	Пс.93:14
Воздайте Господу славу имени Его	Пс.95:8
Поклонитесь Господу во благолепии	Пс.95:9
Господь царствует! потому тверда вселенная, не поколеблется	Пс.95:10
Свет сияет на праведника, и на правых сердцем-веселие	Пс.96:11
Явил Господь спасение Свое	Пс.97:2
Служите Господу с веселием	Пс.99:2
Не положу пред очами моими вещи непотребной	Пс.100:3
Они погибнут, а Ты пребудешь	Пс.101:27
Благослови, душа моя, Господа и не забывай всех благодеяний Его	Пс.102:2
Не забывай всех благодеяний Его	Пс.102:2
Он прощает все беззакония твои, исцеляет все недуги твои	Пс.102:3
Как высоко небо над землею, так велика милость Господа	Пс.102:11
Как далеко восток от запада, так удалил Он от нас беззакония наши	Пс.102:12
Буду петь Господу во всю жизнь мою	Пс.103:33
Да веселится сердце ищущих Господа	Пс.104:3
Ищите Господа и силы Его, ищите лица Его всегда	Пс.104:4
Славьте Господа, ибо Он благ, ибо вовек милость Его	Пс.105:1
Послал слово Свое и исцелил их	Пс.106:20
С Богом мы окажем силу	Пс.107:14
Я громко буду устами моими славить Господа	Пс.108:30
Из праха поднимает бедного, из брения возвышает нищего	Пс.112:7
Уповайте на Господа: Он наша помощь и щит	Пс.113:19
Благословляет боящихся Господа	Пс.113:21
Чашу спасения прииму и имя Господне призову	Пс.115:4
Велика милость Его к нам	Пс.116:2
Лучше уповать на Господа, нежели надеяться на человека	Пс.117:8
Господь-сила моя и песнь; Он соделался моим спасением	Пс.117:14
Десница Господня творит силу!	Пс.117:16
Сей день сотворил Господь: возрадуемся и возвеселимся в оный!	Пс.117:24
Слово Твое-светильник ноге моей и свет стезе моей	Пс.118:105
Велик мир у любящих закон Твой	Пс.118:165
Помощь моя от Господа, сотворившего небо и землю	Пс.120:2
Не даст Он поколебаться ноге твоей	Пс.120:3
Господь-хранитель твой	Пс.120:5
Возрадовался я, когда сказали мне: "пойдем в дом Господень"	Пс.121:1
Душа наша избавилась, как птица, из сети ловящих	Пс.123:7
Cеть расторгнута, и мы избавились	Пс.123:7
Помощь наша-в имени Господа	Пс.123:8
Надеющийся на Господа, как гора Сион, не подвигнется	Пс.124:1
Сеявшие со слезами будут пожинать с радостью	Пс.125:5
Воздвигните руки ваши… и благословите Господа	Пс.133:2
Господь совершит за меня	Пс.137:8
Господь поддерживает всех падающих	Пс.144:14
Праведен Господь во всех путях Своих	Пс.144:17
Близок Господь ко всем призывающим Его	Пс.144:18
Он исцеляет сокрушенных сердцем и врачует скорби их	Пс.146:3
Смиренных возвышает Господь	Пс.146:6
Сыны Сиона да радуются о Царе своем	Пс.149:2
Благоволит Господь к народу Своему	Пс.149:4
Все дышащее да хвалит Господа! Аллилуия	Пс.150:6
Начало мудрости-страх Господень	Прит.1:7
Если будут склонять тебя грешники, не соглашайся	Прит.1:10
Я изолью на вас дух мой, возвещу вам слова мои	Прит.1:23
Господь дает мудрость; из уст Его-знание и разум	Прит.2:6
Господь сохраняет для праведных спасение	Прит.2:7
Господь оберегает стезю святых Своих	Прит.2:8
Ходи путем добрых и держись стезей праведников	Прит.2:20
Жилище благочестивых Он благословляет	Прит.3:33
Я преподал вам доброе учение: не оставляйте заповеди моей	Прит.4:2
Приобретай мудрость, и всем имением твоим приобретай разум	Прит.4:7
Я указываю тебе путь мудрости, веду тебя по стезям прямым	Прит.4:11
Когда пойдешь, не будет стеснен ход твой	Прит.4:12
Крепко держись наставления	Прит.4:13
Стезя праведных-как светило лучезарное	Прит.4:18
Словам моим внимай, и к речам моим приклони ухо твое	Прит.4:20
Слова мои… жизнь для того, кто нашел их, и здравие для всего тела его	Прит.4:22
Больше всего хранимого храни сердце твое	Прит.4:23
Обдумай стезю для ноги твоей, и все пути твои да будут тверды	Прит.4:26
Пей воду из твоего водоема и текущую из твоего колодезя	Прит.5:15
Пред очами Господа пути человека	Прит.5:21
Заповедь есть светильник, и наставление-свет	Прит.6:23
Сын мой! храни слова мои	Прит.7:1
Храни заповеди мои и живи, и учение мое, как зрачок глаз твоих	Прит.7:2
Мудрость лучше жемчуга	Прит.8:11
Ищущие меня найдут меня	Прит.8:17
Блаженны те, которые хранят пути мои!	Прит.8:32
Не допустит Господь терпеть голод душе праведного	Прит.10:3
Рука прилежных обогащает	Прит.10:4
Благословение Господне обогащает и печали с собою не приносит	Прит.10:22
Желание праведников исполнится	Прит.10:24
Ожидание праведников-радость	Прит.10:28
Благословением праведных возвышается город	Прит.11:11
Кто напояет других, тот и сам напоен будет	Прит.11:25
Кто возделывает землю свою, тот будет насыщаться хлебом	Прит.12:11
Кто хранит уста свои, тот бережет душу свою	Прит.13:3
Свет праведных весело горит	Прит.13:9
Общающийся с мудрыми будет мудр	Прит.13:20
Мудрость разумного-знание пути своего	Прит.14:8
Жилище праведных процветет	Прит.14:11
Верный свидетель спасает души	Прит.14:25
Страх Господень-источник жизни	Прит.14:27
Кроткое сердце-жизнь для тела	Прит.14:30
Кроткий ответ отвращает гнев	Прит.15:1
На всяком месте очи Господни	Прит.15:3
Кто внимает обличению, тот приобретает разум	Прит.15:32
Страх Господень научает мудрости	Прит.15:33
Славе предшествует смирение	Прит.15:33
Предай Господу дела твои, и предприятия твои совершатся	Прит.16:3
