#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Luter Bible
#language	german

; Scripture taken from the Luter Bible. 
; Public Domain.

Der HERR wird sein Volk segnen mit Frieden	Ps.29:11
Gott der HERR ist Sonne und Schild	Ps.84:11
Denn Gott der HERR ist ein Fels ewiglich	Ps.26:4
Der HERR wird dein ewiges Licht sein	Jes.60:20
Der HERR wird seinem Volk eine Zuflucht sein	Joel.4:16
Denn der HERR ist barmherzig und ein Erbarmer	Jak.5:11
Der HERR warf unser aller Sünde auf ihn. 	Jes.53:6
Der HERR gibt Gnade und Ehre	Ps.84:11
Der HERR… kennt die, die auf ihn trauen	Nah.1:7
Der HERR wird's für mich vollführen	Ps.138:8
HERR, GOTT, barmherzig und gnädig	2Mose.34:6
Denn ich will ihnen ihre Missetat vergeben	Jer.31:34
Unser Gott kommt und schweigt nicht	Ps.50:3
Des HERRN Wille geschehe	Apg.21:14
Deine Gnade müsse mein Trost sein	Ps.119:76
Laß mir deine Hand beistehen	Ps.119:173
Laß mich wohnen in deiner Hütte ewiglich	Ps.61:4
Auf daß wir Gott Frucht bringen	Röm.7:4
Er bitte aber im Glauben und zweifle nicht	Jak.1:6
Bitte Gott, der da gibt einfältig jedermann und rücket's niemand auf	Jak.1:5
Daß wir die Kindschaft empfingen	Gal.4:5
Die Gabe Gottes ist das ewige Leben	Röm.6:23
Umsonst habt ihr's empfangen, umsonst gebt es auch. 	Mt.10:8
Gottes Gaben und Berufung können ihn nicht gereuen	Röm.11:29
Und durch die Werke ist der Glaube vollkommen geworden	Jak.2:22
Und der Gerechtigkeit Frucht wird Friede sein	Jes.32:17
Sei getrost… deine Sünden sind dir vergeben. 	Mt.9:2
Und die Geduld unsers HERRN achtet für eure Seligkeit, 	2Chr.3:15
Seid ihr auch geduldig und stärket eure Herzen	Jak.5:8
Denn es kostet zuviel, eine Seele zu erlösen	Ps.49:8
Und kaufet die Zeit aus; denn es ist böse Zeit. 	Eph.5:16
Strebt nach der Liebe!	1Kor.14:1
Das Lamm, das erwürget ist, ist würdig	Offb.5:12
Das Alte ist vergangen, siehe, Neues ist geworden! 	2Kor.5:17
Denn der Geist, der ein Geist der Herrlichkeit und Gottes ist, ruht auf euch	1Petr.4:14
Seid brünstig im Geiste. Schicket euch in die Zeit	Röm.12:11
Denn es ist… ein Mittler zwischen Gott und den Menschen	1Tim.2:5
Ist Gott für uns, wer mag wider uns sein? 	Röm.8:31
Wirst du ihn suchen, so wirst du ihn finden;	1Chr.28:9
Denn "noch über eine kleine Weile, so wird kommen, der da kommen soll, und nicht verziehen	Hebr.10:37
Euer Leben ist verborgen mit Christo in Gott	Kol.3:3
Im Hause des Gottlosen ist der Fluch des HERRN	Spr.3:33
Denn er hat mir einen ewigen Bund gesetzt	2Sam.23:5
Versiegelt worden seid mit dem Heiligen Geist	Eph.1:13
Denn der HERR kennt den Weg der Gerechten	Ps.1:6
Euer Vater weiß, was ihr bedürfet	Mt.6:8
