#BIBLE VERSE DESKTOP

#name   	Thai Bible
#language	thai
#charset	thai

; Scripture taken from the Thai Bible. 

พระราชาได้นำดิฉันไปในห้องโถงของพระองค์  เราจะเต้นโลดและเปรมปรีดิ์ในตัวเธอ	พซม.1:4
ทูตสวรรค์ที่อยู่ต่อพระพักตร์พระองค์ช่วยเขาทั้งหลายให้รอด	อสย. 63:9
จงยกมือของท่านขึ้นตรงต่อสถานนมัสการ  และถวายสาธุการแด่พระเจ้า	สดด.134:2
จงทูลเรา  และเราจะตอบเจ้า	ยรม.33:3
ข้าพเจ้าร้องทูลต่อพระเจ้าองค์ผู้สูงสุด  ต่อพระเจ้าผู้ทรงกระทำการให้สำเร็จเพื่อข้าพเจ้า	สดด.57:2
พระองค์จะไม่ทรงยอมให้  คนชอบธรรมคลอนแคลนเลย	สดด.55:22
ท่านที่รักทั้งหลาย  บัดนี้เราทั้งหลายเป็นบุตรของพระเจ้า	1ยน.3:2
่ขอท่านทั้งหลายจงเจริญขึ้นในพระคุณ	2ปต.3:18
สาธุการแด่พระเจ้าพระบิดา...เพื่อให้ได้รับมรดก  ซึ่งไม่รู้เปื่อยเน่า  ปราศจากมลทิน  และไม่ร่วงโรย	1ปต.1:3-4
รับกางเขนของตนแบกทุกวัน และตามเรามา	ลก.9:23
ข้าพระองค์จะไปด้วยพระกำลังขององค์พระผู้เป็นเจ้าพระเจ้า	สดด.71:16
จะได้ทราบพระประสงค์ของพระเจ้าว่าอะไรดี อะไรเป็นที่ชอบพระทัย และอะไรดียอดเยี่ยม	รม.12:2
พระองค์ก็ได้ทรงให้เราทั้งหลายบังเกิดโดยพระวจนะแห่งความจริง	ยก.1:18
ดูเถิด บัดนี้เป็นวันแห่งความรอด	2คร.6:2
เพราะว่าท่านทั้งหลายเป็นอันหนึ่งอันเดียวกันในพระเยซูคริสต์	กท.3:28
จงกระทำเพื่อเป็นการถวายพระเกียรติแด่พระเจ้า	1คร.10:31
เพราะว่าพระองค์ทรงห่วงใยท่านทั้งหลาย	1ปต.5:7
ทุกสิ่งซึ่งเป็นของข้าพระองค์ก็เป็นของพระองค์ และทุกสิ่งซึ่งเป็นของพระองค์ก็เป็นของข้าพระองค์	ยน.17:10
แต่ว่าในเหตุการณ์ทั้งปวงเหล่านี้ เรามีชัยเหลือล้นโดยพระองค์ผู้ได้ทรงรักเราทั้งหลาย	รม.8:37
ทุกสิ่งซึ่งท่านกระทำนั้น จงกระทำด้วยความรัก	1คร.16:14
พระองค์ทรงกระทำล้วนแต่ดีทั้งนั้น	มก.7:37
ด้วยว่าพระวิญญาณของพระเจ้าได้ทรงนำพาคนหนึ่งคนใด คนเหล่านั้นก็เป็นบุตรของพระเจ้า	รม.8:14
สารพัดที่พระเจ้าทรงกระทำก็ดำรงอยู่เป็นนิตย์	ปญจ.3:14
ครั้นเวลาเช้ามืดพระองค์ได้ทรงลุกขึ้นเสด็จออกไปยังที่เปลี่ยว และทรงอธิษฐานที่นั่น	มก.1:35
ทุกคนที่จะร้องออกพระนามขององค์พระผู้เป็นเจ้าก็จะรอด	รม.10:13
ของประทานอันเลิศทุกอย่างย่อมมาจากเบื้องบน	ยก.1:17
ท่านปรากฏเป็น...ของพระคริสต์ซึ่งเราเป็นผู้ปรนนิบัติ	2คร.3:3
หากว่าท่านได้ชิมดูรู้แล้วว่าองค์พระผู้เป็นเจ้าประกอบด้วยพระกรุณา	1ปต.2:3
และท่านทั้งหลายเป็นของพระคริสต์  และพระคริสต์ทรงเป็นของพระเจ้า	1คร.3:23
ท่านจงถวายพระเกียรติแด่พระเจ้าด้วยร่างกายของท่านเถิด			1คร.6:20
ท่านทั้งหลายจะรับมงกุฎแห่งสง่าราศีที่ร่วงโรยไม่ได้เลย	1ปต.5:4
เราทั้งหลายจึงไม่ได้รับวิญญาณของโลก แต่ได้รับพระวิญญาณซึ่งมาจากพระเจ้า	1คร.2:12
ท่านทั้งหลายซึ่งเมื่อก่อนอยู่ไกลได้เข้ามาใกล้โดยพระโลหิตของพระคริสต์	อฟ.2:13
ทรงนำประชาชนของพระองค์ออกมาด้วยความชื่นบาน		สดด.105:43
พระวิญญาณขององค์พระผู้เป็นเจ้าทรงอยู่ที่ไหน เสรีภาพก็มีอยู่ที่นั่น	2คร.3:17
เราอยู่ที่ไหน ผู้ปรนนิบัติเราจะอยู่ที่นั่นด้วย	ยน.12:26
คนเหล่านั้นประกอบด้วยพระวิญญาณบริสุทธิ์ ได้กล่าวพระวจนะของพระเจ้าด้วยใจกล้าหาญ	กจ.4:31
ถ้าผู้หนึ่งผู้ใดจะพูด  ก็ให้กล่าวเหมือนหนึ่งกล่าวพระภาษิตของพระเจ้า	1ปต.4:11
แต่ในใจของท่าน  จงเคารพนับถือ  พระคริสต์ว่าเป็น  องค์พระผู้เป็นเจ้า	1ปต.3:15
ความปรารถนาทั้งสิ้นของข้าพระองค์ก็แจ้งอยู่กับพระองค์	สดด.38:9
ถึงกลางยุคขอทรงรื้อฟื้นพระราชกิจนั้นขึ้นใหม่	ฮบก.3:2
จงกราบนมัสการพระองค์ผู้เป็นพระเจ้าของท่าน	มธ.4:10
พระเยโฮวาห์ทรงเป็นกำลังและบทเพลงของข้าพเจ้า	อสย.12:2
พระเจ้าทรงอำนวยพระพรแก่ประชากรของพระองค์ให้มีสันติภาพ	สดด.29:11
พระเยโฮวาห์พระเจ้าทรงเป็นดวงอาทิตย์และเป็นโล่	สดด.84:11
พระเยโฮวาห์ทรงเป็นพระกำลังนิรันดร์		อสย.26:4
พระเยโฮวาห์จะทรงเป็นความสว่างนิรันดร์	อสย.60:20
แต่พระเยโฮวาห์จะทรงเป็นความหวังแห่งประชาชนของพระองค์	ยอล.3:16
