#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Louis Segond Bible
#copyright	Public Domain
#language	french 

; Scripture taken from the Louis Segond Bible.
; Public Domain.

Il fit sortir son peuple dans l'allégresse, ses élus au milieu des cris de joie	Ps.105:43
Lŕ oů est l'Esprit du Seigneur, lŕ est la liberté	2Co.3:17
Lŕ oů je suis, lŕ aussi sera mon Serviteur	Jn.12:26
Ils annonçaient la parole de Dieu avec assurance	Ac.4:31
Si quelqu'un parle, que ce soit comme annonçant les oracles de Dieu	1Pi.4:11
Sanctifiez dans vos cśurs Christ le Seigneur	1Pi.3:15
Seigneur! tous mes désirs sont devant toi 	Ps.38:10
Accomplis ton śuvre dans le cours des années, ô Éternel!	Ha.3:2
Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul 	Mt.4:10
L'Éternel est ma force et le sujet de mes louanges	És.12:2
L'Éternel bénit son peuple et le rend heureux	Ps.29:11
Car l'Éternel Dieu est un soleil et un bouclier… 	Ps.84:12
L'Éternel est le rocher des sičcles	Ps.27:4
L'Éternel sera ta lumičre ŕ toujours	És.60:20
L'Éternel est refuge pour son peuple	Joë.3:16
Le Seigneur est plein de miséricorde et de compassion	Ja.5:11
L'Éternel a fait retomber sur lui l'iniquité de nous tous	És.53:6
L'Éternel donne la grâce et la gloire	Ps.84:12
L'Éternel est bon,… Il connaît ceux qui se confient en lui	Na.1:7
L'Éternel agira en ma faveur	Ps.138:8
L'Éternel, l'Éternel, Dieu miséricordieux et compatissant	Ex.34:6
Je ne me souviendrai plus de leur péché	Jé.31:34
Il vient, notre Dieu, il ne reste pas en silence	Ps.50:3
Que la volonté du Seigneur se fasse!	Ac.21:14
Que ta bonté soit ma consolation, Comme tu l'as promis ŕ ton serviteur!	Ps.119:76
Que ta main me soit en aide! 	Ps.119:173
Je voudrais séjourner éternellement dans ta tente	Ps.61:5
Que nous portions des fruits pour Dieu 	Ro.7:4
Qu'il demandent avec foi, sans douter	Ja.1:6
Qu'il l'a demande (la sagesse) ŕ Dieu, qui donne ŕ tous simplement et sans reproche 	Ja.1:5
Afin que nous reçussions l'adoption	Ga.4:5
Le don gratuit de Dieu, c'est la vie éternelle en Jésus-Christ notre Seigneur	Ro.6:23
Vous avez reçu gratuitement, donnez gratuitement	Mt.10:8
Dieu ne se repent pas de ses dons et de son appel 	Ro.11:29
Par les oeuvres la foi fut rendue parfaite 	Ja.2:22
L'śuvre de la justice sera la paix	És.32:17
Prends courage, mon enfant, tes péchés te sont pardonnés	Mt.9:2
Croyez que la patience de notre Seigneur est votre salut	2Pi.3:15
Vous aussi, soyez patients, affermissez vos cśurs	Ja.5:8
Le rachat de leur âme est cher, et n'aura jamais lieu	Ps.49:9
Rachetez le temps, car les jours sont mauvais	Ép.5:16
Recherchez la charité. Aspirez aussi aux dons spirituels	1Co.14:1
L'agneau qui a été immolé est digne de recevoir la puissance,… et la louange	Ap.5:12
Les choses anciennes sont passées; voici, toutes choses sont devenues nouvelles 	2Co.5:17
